Date,Price,Open,High,Low,Vol.,Change %
2/25/2024,56.31,52.11,58.87,51.55,,7.24%
2/18/2024,52.51,57.11,57.11,51.12,,-8.05%
2/11/2024,57.11,58.64,59.05,55.41,,-2.87%
2/4/2024,58.8,63.8,64.31,58.2,,-7.40%
1/28/2024,63.5,63.6,65.14,61.3,,0.63%
1/21/2024,63.1,63.03,66.43,60.86,,-0.50%
1/14/2024,63.42,66,67.46,62.5,,-0.60%
1/7/2024,63.8,73.68,73.75,63,,-13.75%
12/31/2023,73.97,77.98,78.22,73.04,,-5.14%
12/24/2023,77.98,76.94,78.61,76.94,,1.35%
12/17/2023,76.94,68.26,77.08,67.03,,13.87%
12/10/2023,67.57,68.5,70.16,65.99,,-1.53%
12/3/2023,68.62,72.03,72.08,68.37,,-5.29%
11/26/2023,72.45,76.34,76.5,70.44,,-5.24%
11/19/2023,76.46,76.63,77.8,74.88,,0.30%
11/12/2023,76.23,78.5,80.27,76.02,,-2.89%
11/5/2023,78.5,77.48,78.85,74.84,,1.68%
10/29/2023,77.2,79.45,80.98,76.24,,-2.72%
10/22/2023,79.36,81.39,81.5,79.3,,-2.83%
10/15/2023,81.67,85.58,85.93,80.84,,-4.66%
10/8/2023,85.66,80.65,86.6,80,,6.25%
10/1/2023,80.62,81.42,82.39,79.52,,-1.02%
9/24/2023,81.45,85.95,85.95,81.42,,-4.51%
9/17/2023,85.3,82.18,86.05,80.51,,3.90%
9/10/2023,82.1,81.79,84.09,80.57,,0.59%
9/3/2023,81.62,85.63,85.63,81.28,,-4.69%
8/27/2023,85.64,85.4,87.28,84.52,,0.46%
8/20/2023,85.25,88.62,90.39,84.5,,-3.18%
8/13/2023,88.05,86.57,89.87,86,,1.44%
8/6/2023,86.8,83.55,86.92,82.31,,4.06%
7/30/2023,83.41,88.34,89.42,83.01,,-5.96%
7/23/2023,88.7,91.82,93.5,88.16,,-3.40%
7/16/2023,91.82,85.93,92.3,85.18,,6.33%
7/9/2023,86.35,86.16,88.32,85.11,,0.23%
7/2/2023,86.15,89.12,89.83,85.33,,-3.82%
6/25/2023,89.57,87.69,89.7,85.8,,2.31%
6/18/2023,87.55,91.7,96,87.55,,-4.75%
6/11/2023,91.92,86.75,95.18,84.88,,6.71%
6/4/2023,86.14,79.05,87.3,78.01,,9.70%
5/28/2023,78.52,83.01,84.46,78.47,,-5.55%
5/21/2023,83.13,89.43,89.71,81.94,,-7.04%
5/14/2023,89.43,88.5,91.24,86.13,,0.56%
5/7/2023,88.93,85,90.12,84.5,,4.67%
4/30/2023,84.96,87.39,90.82,83.25,,-3.07%
4/23/2023,87.65,90.11,90.11,85.16,,-2.46%
4/16/2023,89.86,94.14,96.47,89.25,,-4.52%
4/9/2023,94.11,96.75,98.43,93.1,,-2.73%
4/2/2023,96.75,91.75,98,91.69,,5.45%
3/26/2023,91.75,88.02,92.89,86.73,,7.44%
3/19/2023,85.4,83.7,91.02,82.13,,-0.20%
3/12/2023,85.57,96.3,96.3,83.43,,-11.63%
3/5/2023,96.83,90.5,96.93,89.05,,8.47%
2/26/2023,89.27,95.64,97.2,88.47,,-5.82%
2/19/2023,94.79,94.63,97.99,93.26,,1.56%
2/12/2023,93.33,90.1,95.42,87.24,,3.20%
2/5/2023,90.44,90.44,92.34,86.5,,-0.51%
1/29/2023,90.9,87.05,94.26,85.84,,4.55%
1/22/2023,86.94,82.59,88,78.9,,5.25%
1/15/2023,82.6,76.8,82.73,74.75,,6.99%
1/8/2023,77.2,74.8,79.79,74.8,,2.18%
1/1/2023,75.55,80.17,83.68,74.85,,-4.85%
12/25/2022,79.4,85.92,88.5,78.23,,-8.58%
12/18/2022,86.85,86.57,88.05,83.85,,3.79%
12/11/2022,83.68,87.5,90.41,83.07,,-4.62%
12/4/2022,87.73,87.85,89.54,85.4,,-0.28%
11/27/2022,87.98,78.92,88.69,76.92,,11.41%
11/20/2022,78.97,72.44,79.76,71.68,,8.97%
11/13/2022,72.47,75.69,77.41,71.89,112.03K,-4.44%
11/6/2022,75.84,76.36,78.2,70.5,125.86K,-0.68%
10/30/2022,76.36,81.77,82,75.36,94.66K,-5.97%
10/23/2022,81.21,69,82.58,67.64,123.12K,18.18%
10/16/2022,68.72,68.01,69.69,66.26,84.55K,1.03%
10/9/2022,68.02,68.98,69.5,65.01,94.22K,-2.62%
10/2/2022,69.85,66.55,71.36,64.25,85.10K,4.68%
9/25/2022,66.73,65.15,71.95,64.1,97.30K,1.46%
9/18/2022,65.77,73.32,73.8,65.35,85.07K,-10.24%
9/11/2022,73.27,65.99,73.93,65.73,110.26K,10.88%
9/4/2022,66.08,77.49,77.49,65.55,139.95K,-15.16%
8/28/2022,77.89,90.5,90.5,77.45,114.73K,-13.75%
8/21/2022,90.31,98.5,98.69,87.2,85.13K,-7.86%
8/14/2022,98.01,89.35,99.22,88.5,86.21K,10.28%
8/7/2022,88.87,85,89.25,83.65,72.57K,4.85%
7/31/2022,84.76,78.5,85.45,78.1,75.47K,7.91%
7/24/2022,78.55,76.12,80.12,75.49,91.34K,2.95%
7/17/2022,76.3,85.5,85.5,76,131.81K,-10.63%
7/10/2022,85.38,82.77,86.57,82.7,71.98K,3.13%
7/3/2022,82.79,85.58,87.17,82.52,71.92K,-3.26%
6/26/2022,85.58,84,90.35,83,89.16K,2.58%
6/19/2022,83.43,83.5,85.43,81.2,81.00K,1.29%
6/12/2022,82.37,82.1,86.98,79.81,83.66K,0.62%
6/5/2022,81.86,87.21,87.21,79.1,97.36K,-5.77%
5/29/2022,86.87,84.36,88.64,83.09,50.05K,3.17%
