Date,Price,Open,High,Low,Vol.,Change %
2/18/2018,10.43,10.43,10.43,10.43,82.13K,2.96%
2/11/2018,10.13,10.13,10.13,10.13,0.01K,3.47%
2/4/2018,9.79,9.79,9.79,9.79,75.08K,2.73%
1/28/2018,9.53,9.53,9.53,9.53,0.38K,-1.45%
1/21/2018,9.67,9.67,9.67,9.67,1.00K,4.54%
1/14/2018,9.25,9.25,9.25,9.25,0.13K,11.99%
1/7/2018,8.26,8.26,8.26,8.26,58.43K,0.85%
12/31/2017,8.19,8.19,8.19,8.19,33.52K,-4.77%
12/24/2017,8.6,8.6,8.6,8.6,10.98K,-0.23%
12/17/2017,8.62,8.62,8.62,8.62,13.04K,12.68%
12/10/2017,7.65,7.69,7.69,7.69,0.70K,0.92%
12/3/2017,7.58,7.58,7.58,7.58,75.47K,-6.77%
11/26/2017,8.13,8.13,8.13,8.13,62.83K,-0.97%
11/19/2017,8.21,8.21,8.21,8.21,0.01K,3.53%
11/12/2017,7.93,7.93,7.93,7.93,20.60K,0.89%
11/5/2017,7.86,7.86,7.86,7.86,0.65K,-5.53%
10/29/2017,8.32,8.32,8.32,8.32,0.00K,9.33%
10/22/2017,7.61,7.61,7.61,7.61,0.75K,-4.87%
10/15/2017,8,8,8,8,0.03K,2.83%
10/8/2017,7.78,7.78,7.78,7.78,0.15K,3.46%
10/1/2017,7.52,7.52,7.52,7.52,10.74K,-0.92%
9/24/2017,7.59,7.59,7.59,7.59,11.99K,6.30%
9/17/2017,7.14,7.14,7.14,7.14,0.02K,-4.03%
9/10/2017,7.44,7.44,7.44,7.44,0.01K,-1.59%
9/3/2017,7.56,7.56,7.56,7.56,0.00K,17.57%
8/27/2017,6.43,6.43,6.43,6.43,0.16K,-3.89%
8/20/2017,6.69,6.69,6.69,6.69,0.11K,4.37%
8/13/2017,6.41,6.41,6.41,6.41,21.15K,7.01%
8/6/2017,5.99,5.99,5.99,5.99,8.68K,2.22%
7/30/2017,5.86,5.86,5.86,5.86,0.01K,2.99%
7/23/2017,5.69,5.69,5.69,5.69,5.63K,1.61%
7/16/2017,5.6,5.6,5.6,5.6,0.02K,-3.78%
7/9/2017,5.82,5.82,5.82,5.82,0.00K,1.39%
7/2/2017,5.74,5.74,5.74,5.74,8.97K,5.90%
6/25/2017,5.42,5.42,5.42,5.42,11.19K,3.24%
6/18/2017,5.25,5.25,5.25,5.25,0.17K,-0.19%
6/11/2017,5.26,5.26,5.26,5.26,4.06K,-2.95%
6/4/2017,5.42,5.42,5.42,5.42,0.15K,-2.17%
5/28/2017,5.54,5.54,5.54,5.54,0.05K,-0.72%
5/21/2017,5.58,5.58,5.58,5.58,0.23K,6.90%
5/14/2017,5.22,5.22,5.22,5.22,0.03K,8.07%
5/7/2017,4.83,4.83,4.83,4.83,0.03K,-2.23%
4/30/2017,4.94,4.94,4.94,4.94,0.01K,0.00%
4/23/2017,4.94,4.94,4.94,4.94,0.00K,0.00%
4/16/2017,4.94,4.94,4.94,4.94,0.01K,-7.14%
4/9/2017,5.32,5.32,5.32,5.32,0.00K,1.33%
4/2/2017,5.25,5.25,5.25,5.25,0.01K,4.17%
3/26/2017,5.04,5.04,5.04,5.04,1.18K,-1.37%
3/19/2017,5.11,5.11,5.11,5.11,5.43K,-6.75%
3/12/2017,5.48,5.48,5.48,5.48,0.94K,-0.54%
3/5/2017,5.51,5.51,5.51,5.51,2.25K,-7.24%
2/26/2017,5.94,5.94,5.94,5.94,2.30K,3.66%
2/19/2017,5.73,5.73,5.73,5.73,0.01K,7.91%
2/12/2017,5.31,5.31,5.31,5.31,0.02K,-2.57%
2/5/2017,5.45,5.45,5.45,5.45,8.46K,-0.73%
1/29/2017,5.49,5.49,5.49,5.49,0.02K,11.81%
1/22/2017,4.91,5.19,5.19,4.95,0.01K,-9.41%
1/15/2017,5.42,4.96,4.96,4.66,0.04K,7.75%
1/8/2017,5.03,5.05,5.36,5.05,0.01K,0.00%
1/1/2017,5.03,5.64,5.68,5.04,0.05K,-23.09%
12/25/2016,6.54,6.54,6.54,6.54,0.25K,5.14%
12/18/2016,6.22,4.96,5.89,4.93,16.02K,26.17%
12/11/2016,4.93,4.51,5.19,4.49,113.04K,10.54%
12/4/2016,4.46,4.27,4.78,3.97,96.85K,3.72%
11/27/2016,4.3,4.99,4.99,4.25,76.18K,-14.00%
11/20/2016,5,5.47,5.47,5.35,0.00K,-10.39%
11/13/2016,5.58,5.55,5.8,5.55,0.01K,-1.59%
11/6/2016,5.67,6.52,6.52,5.7,0.01K,-11.54%
10/30/2016,6.41,5.93,5.97,5.93,0.02K,9.01%
10/23/2016,5.88,5.76,5.76,5.75,0.01K,-0.17%
10/16/2016,5.89,5.9,5.9,5.9,0.00K,1.38%
10/9/2016,5.81,5.55,5.64,5.55,0.00K,2.11%
10/2/2016,5.69,5.22,5.67,5.22,0.01K,14.72%
9/25/2016,4.96,4.64,5.19,4.64,0.10K,9.25%
9/18/2016,4.54,4.43,4.65,4.1,0.03K,4.13%
9/11/2016,4.36,3.97,3.97,3.97,0.00K,6.86%
9/4/2016,4.08,4.08,4.08,4.08,5.67K,0.00%
8/28/2016,4.08,4.35,4.35,4.33,1.21K,-13.01%
8/21/2016,4.69,4.87,4.87,4.87,0.01K,-1.47%
8/14/2016,4.76,4.49,4.49,4.49,0.01K,-2.66%
8/7/2016,4.89,4.89,4.89,4.89,1.28K,3.60%
7/31/2016,4.72,4.56,4.59,4.56,0.01K,7.03%
7/24/2016,4.41,4.4,4.4,4.4,0.00K,-3.08%
7/17/2016,4.55,4.72,4.72,4.72,0.01K,-7.52%
7/10/2016,4.92,4.53,4.85,4.43,0.09K,8.61%
7/3/2016,4.53,4.51,4.72,4.51,0.03K,-1.74%
6/26/2016,4.61,5.06,5.06,4.46,0.06K,-6.87%
6/19/2016,4.95,5.56,5.57,4.89,2.32K,-12.54%
6/12/2016,5.66,5.89,5.89,5.67,0.57K,-4.71%
6/5/2016,5.94,6.36,6.36,5.95,0.26K,0.17%
5/29/2016,5.93,5.98,5.98,5.98,1.87K,-1.50%
5/22/2016,6.02,5.9,5.9,5.81,0.12K,1.18%
5/15/2016,5.95,5.9,5.97,5.89,0.54K,1.88%
5/8/2016,5.84,5.83,5.85,5.83,0.16K,-0.17%
5/1/2016,5.85,5.85,5.85,5.85,2.74K,-5.19%
4/24/2016,6.17,5.94,6.06,5.94,0.05K,3.52%
4/17/2016,5.96,5.5,5.75,5.5,0.02K,8.96%
4/10/2016,5.47,5.52,5.55,5.5,0.07K,1.11%
4/3/2016,5.41,5.32,5.32,5.32,0.01K,4.84%
3/27/2016,5.16,4.77,5.09,4.77,0.02K,6.61%
3/20/2016,4.84,4.84,4.84,4.84,1.52K,-1.83%
3/13/2016,4.93,4.97,5.01,4.61,0.32K,-1.00%
3/6/2016,4.98,4.97,5.2,4.84,3.83K,1.22%
2/28/2016,4.92,4.95,5.02,4.78,3.56K,-1.20%
2/21/2016,4.98,5.24,5.24,4.72,0.03K,-3.30%
2/14/2016,5.15,4.98,4.98,4.88,0.02K,1.98%
2/7/2016,5.05,5.2,5.2,4.63,0.02K,-8.84%
1/31/2016,5.54,5.85,5.85,5.6,0.07K,-8.28%
1/24/2016,6.04,5.95,5.95,5.9,0.88K,-4.43%
1/17/2016,6.32,6.55,6.61,6.55,0.10K,-5.25%
1/10/2016,6.67,7,7,6.73,4.51K,-9.99%
1/3/2016,7.41,8.06,8.06,7.93,1.07K,-9.85%
12/27/2015,8.22,8.22,8.22,8.22,0.15K,0.37%
12/20/2015,8.19,8.19,8.19,8.19,0.01K,1.61%
12/13/2015,8.06,7.99,8.12,7.9,23.82K,-0.12%
12/6/2015,8.07,8.52,8.53,7.93,131.79K,-5.28%
11/29/2015,8.52,8.56,8.65,8.42,91.03K,-0.70%
11/22/2015,8.58,8.62,8.62,8.56,0.01K,0.82%
11/15/2015,8.51,8.38,8.55,8.38,0.02K,1.43%
11/8/2015,8.39,8.39,8.39,8.39,0.96K,-0.12%
11/1/2015,8.4,8.5,8.5,8.48,0.02K,-2.67%
10/25/2015,8.63,8.56,8.56,8.56,0.01K,0.12%
10/18/2015,8.62,8.46,8.53,8.46,0.03K,2.86%
10/11/2015,8.38,8.32,8.47,8.32,0.01K,0.60%
10/4/2015,8.33,8.33,8.33,8.33,0.25K,2.46%
9/27/2015,8.13,7.96,8.15,7.9,0.59K,1.88%
9/20/2015,7.98,8.08,8.08,7.96,0.87K,-1.36%
9/13/2015,8.09,8.23,8.23,8.13,2.95K,-1.82%
9/6/2015,8.24,8.1,8.27,8.1,0.17K,2.11%
8/30/2015,8.07,7.99,8.15,7.99,0.13K,-0.25%
8/23/2015,8.09,8.13,8.13,8.03,0.32K,-1.10%
8/16/2015,8.18,8.25,8.29,8.18,0.05K,-1.45%
8/9/2015,8.3,7.93,8.21,7.93,0.09K,6.96%
8/2/2015,7.76,7.91,7.95,7.8,0.23K,-1.15%
7/26/2015,7.85,7.97,8.04,7.87,0.09K,-1.63%
7/19/2015,7.98,7.98,7.98,7.98,0.30K,3.37%
7/12/2015,7.72,7.65,7.81,7.65,0.08K,1.71%
7/5/2015,7.59,7.39,7.39,7.33,0.06K,2.29%
6/28/2015,7.42,7.3,7.47,7.3,1.12K,-1.33%
6/21/2015,7.52,7.47,7.55,7.47,5.44K,1.48%
6/14/2015,7.41,7.57,7.57,7.4,1.83K,-2.63%
6/7/2015,7.61,7.51,7.6,7.51,6.00K,2.84%
5/31/2015,7.4,7.25,7.53,7.25,1.23K,1.09%
5/24/2015,7.32,7.37,7.37,7.17,1.25K,0.27%
5/17/2015,7.3,7.53,7.55,7.27,0.13K,-3.82%
5/10/2015,7.59,7.54,7.68,7.51,1.09K,0.80%
5/3/2015,7.53,7.55,7.67,7.54,0.08K,0.67%
4/26/2015,7.48,7.3,7.5,7.15,0.45K,2.75%
4/19/2015,7.28,7.1,7.32,7.06,1.92K,6.43%
4/12/2015,6.84,6.92,6.92,6.8,0.79K,-1.44%
4/5/2015,6.94,7.14,7.15,6.97,2.47K,-2.94%
3/29/2015,7.15,6.79,7.19,6.79,0.45K,5.77%
3/22/2015,6.76,6.97,7.07,6.8,3.76K,-3.98%
3/15/2015,7.04,6.39,6.95,6.36,40.95K,8.98%
3/8/2015,6.46,6.74,6.82,6.23,7.05K,-5.00%
3/1/2015,6.8,7.01,7.03,6.62,6.59K,-4.23%
2/22/2015,7.1,7.2,7.74,6.93,18.57K,-3.01%
2/15/2015,7.32,7.59,7.79,7.3,1.01K,-4.06%
2/8/2015,7.63,6.87,7.59,6.81,1.18K,9.78%
2/1/2015,6.95,7.08,7.12,6.85,2.84K,-1.84%
1/25/2015,7.08,6.82,7.09,6.77,2.48K,4.12%
1/18/2015,6.8,7.07,7.34,6.77,15.62K,-4.63%
1/11/2015,7.13,6.65,7.31,6.63,4.45K,6.26%
1/4/2015,6.71,6.92,6.92,6.66,2.69K,-4.28%
