date,carbon_price,carbon_price_change_pct,gas_price_weekly,gas_price_lag1,vix,co2_ppm,co2_change,days_to_next_cop,is_cop_week,regime,recent_volatility,momentum_4w,momentum_12w,gas_price_volatility,cop_urgency
2015-04-05,6.94,-2.93706293706294,2.64,2.79,14.894999980926514,403.39,0.345771144278606,239,0,0,5.593208750794113,7.430340557275539,-2.664796633941091,4.845610835820476,0.0
2015-04-12,6.84,-1.4409221902017322,2.67,2.64,13.833999824523923,404.23,0.2082352066238746,232,0,0,5.431185605536462,-2.840909090909094,0.588235294117645,3.1594889603217915,0.0
2015-04-19,7.28,6.432748538011701,2.61,2.67,13.388000106811525,403.27,-0.2374885584939368,225,0,0,5.621541942658088,7.692307692307709,2.824858757062154,2.808478644255362,0.0
2015-04-26,7.48,2.74725274725276,2.6,2.61,12.805999946594238,403.99,0.1785404319686545,218,0,0,5.613478748777952,4.615384615384621,7.625899280575532,2.8043277358244008,0.0
2015-05-03,7.53,0.6684491978609541,2.57,2.6,13.23400001525879,404.33,0.0841604990222455,211,0,0,4.844712089356829,8.501440922190206,-1.3106159895150626,1.4220427628205068,0.0
2015-05-10,7.59,0.7968127490039834,2.75,2.57,14.060000038146972,404.16,-0.0420448643434712,204,0,0,4.674749344792106,10.964912280701755,3.688524590163933,4.202811729762117,0.0
2015-05-17,7.3,-3.820816864295129,2.88,2.75,13.318000030517576,404.16,0.0,197,0,0,4.73430151781849,0.27472527472527375,2.8169014084507005,3.953877863113174,0.0
2015-05-24,7.32,0.273972602739736,2.99,2.88,12.539999961853027,403.99,-0.0420625494853554,190,0,0,4.513526026673679,-2.1390374331550777,7.647058823529429,3.4401756051826613,0.0
2015-05-31,7.4,1.0928961748633892,2.8,2.99,13.62000036239624,403.37,-0.1534691452758751,183,0,0,4.140374561076503,-1.726427622841964,14.551083591331281,5.922487716768503,0.0
2015-06-07,7.61,2.837837837837842,2.65,2.8,14.157999992370604,403.41,0.0099164538760909,176,0,0,3.4084870099137294,0.26350461133071157,8.096590909090917,5.873950741817607,0.0
2015-06-14,7.41,-2.628120893561104,2.78,2.65,13.922000122070312,402.56,-0.2107037505267639,169,0,0,3.259025896405675,1.5068493150685036,9.615384615384626,5.93022275814558,0.0
2015-06-21,7.52,1.4844804318488558,2.9,2.78,14.370000076293945,402.88,0.0794912559618499,162,0,0,2.879652651239937,2.7322404371584508,5.174825174825171,6.061561391959166,0.0
2015-06-28,7.42,-1.3297872340425454,2.8,2.9,13.228000068664551,402.33,-0.1365170770452728,155,0,0,2.741395767173697,0.2702702702702675,6.916426512968288,5.267644557657617,0.0
2015-07-05,7.59,2.2911051212938016,2.79,2.8,17.490000247955322,401.9,-0.1068774389183069,148,0,0,2.701086570813667,-0.26281208935611255,10.964912280701755,3.974117844846818,0.0
2015-07-12,7.72,1.7127799736495364,2.75,2.79,17.911999893188476,401.57,-0.0821099776063705,141,0,0,2.0994412950769976,4.183535762483115,6.043956043956045,3.291069962584476,0.0
2015-07-19,7.98,3.3678756476684057,2.89,2.75,12.911999702453612,401.43,-0.034863162088794,134,0,0,2.166134746228212,6.117021276595747,6.68449197860963,3.6508215492152156,0.0
2015-07-26,7.85,-1.6290726817042689,2.88,2.89,12.59400005340576,400.38,-0.2615649054629743,127,0,0,2.255588124725854,5.795148247978443,4.249667994687911,2.9460991424766902,0.0
2015-08-02,7.76,-1.146496815286624,2.87,2.88,13.157999992370604,398.54,-0.4595634147559702,120,0,0,2.291695910810061,2.2397891963109373,2.2397891963109373,2.9448732329324305,0.0
2015-08-09,8.3,6.958762886597958,2.8,2.87,13.046000289916991,399.37,0.2082601495458469,113,0,0,2.6527787808903898,7.512953367875652,13.698630136986312,3.2221845406927074,0.0
2015-08-16,8.18,-1.4457831325301318,2.88,2.8,13.173999786376951,399.32,-0.0125197185567249,106,0,0,2.7466762008553474,2.5062656641603898,11.748633879781423,2.185823685039644,0.0
2015-08-23,8.09,-1.1002444987775029,2.75,2.88,17.846000099182127,399.04,-0.0701192026444919,99,0,0,2.8095558377259664,3.0573248407643305,9.324324324324307,3.1449862504222956,0.0
2015-08-30,8.07,-0.2472187886279342,2.69,2.75,31.846000289916997,398.68,-0.0902165196471571,92,0,0,2.7446452348208488,3.9948453608247503,6.044678055190533,3.1302608566704033,0.0
2015-09-06,8.24,2.106567534076831,2.69,2.69,27.86599998474121,397.96,-0.1805959666900891,85,0,0,2.5860496165789963,-0.7228915662650715,11.201079622132259,3.141928546845897,0.0
2015-09-13,8.09,-1.820388349514568,2.7,2.69,24.675000190734863,397.43,-0.1331792139913523,78,0,0,2.694028885252825,-1.1002444987775029,7.5797872340425565,2.256516666260607,0.0
2015-09-20,7.98,-1.3597033374536438,2.7,2.7,22.312000274658203,397.52,0.0226454973202727,71,0,0,2.696033703849895,-1.3597033374536438,7.547169811320753,1.1661099632290222,0.0
2015-09-27,8.13,1.8796992481203036,2.61,2.7,22.35999984741211,397.41,-0.0276715636948976,64,0,0,2.6756772757026526,0.743494423791824,7.114624505928857,1.7374846773416341,0.0
2015-10-04,8.33,2.460024600245992,2.49,2.61,24.489999771118164,398.56,0.2893736946730119,57,0,0,2.7122123944945606,1.0922330097087318,7.901554404145084,2.456451163042147,0.05
