date,carbon_price,carbon_price_change_pct,gas_price_weekly,gas_price_lag1,vix,co2_ppm,co2_change,days_to_next_cop,is_cop_week
2015-01-11,7.13,6.259314456035758,3.03,3.09,18.981999969482423,400.36,0.07749031371078186,323,0
2015-01-18,6.8,-4.628330995792429,3.08,3.03,20.995999908447267,399.7,-0.1648516335298278,316,0
2015-01-25,7.08,4.117647058823537,2.95,3.08,17.949999809265137,400.39,0.17262947210407997,309,0
2015-02-01,6.95,-1.836158192090398,2.91,2.95,18.58199996948242,400.44,0.012487824371243406,302,0
2015-02-08,7.63,9.784172661870505,2.72,2.91,17.846000289916994,400.14,-0.07491759065029191,295,0
2015-02-15,7.32,-4.062909567496719,2.75,2.72,16.553999519348146,400.11,-0.007497375918419369,288,0
2015-02-22,7.1,-3.0054644808743203,2.9,2.75,15.210000038146973,401.53,0.3549024018394853,281,0
2015-03-01,6.8,-4.225352112676051,3.13,2.9,13.868000030517578,401.48,-0.012452369685944653,274,0
2015-03-08,6.46,-4.999999999999993,3.04,3.13,14.073999786376953,402.23,0.1868088074125751,267,0
2015-03-15,7.04,8.978328173374607,2.76,3.04,16.008000373840332,400.97,-0.313253611118014,260,0
2015-03-22,6.76,-3.9772727272727293,2.8,2.76,14.465999984741211,401.97,0.24939521659974595,253,0
2015-03-29,7.15,5.769230769230771,2.79,2.8,14.667999839782714,402.0,0.007463243525629437,246,0
2015-04-05,6.94,-2.9370629370629397,2.64,2.79,14.894999980926514,403.39,0.345771144278606,239,0
2015-04-12,6.84,-1.4409221902017322,2.67,2.64,13.833999824523925,404.23,0.20823520662387462,232,0
2015-04-19,7.28,6.432748538011701,2.61,2.67,13.388000106811523,403.27,-0.2374885584939368,225,0
2015-04-26,7.48,2.7472527472527597,2.6,2.61,12.805999946594238,403.99,0.17854043196865454,218,0
2015-05-03,7.53,0.6684491978609541,2.57,2.6,13.23400001525879,404.33,0.08416049902224554,211,0
2015-05-10,7.59,0.7968127490039834,2.75,2.57,14.060000038146972,404.16,-0.04204486434347121,204,0
2015-05-17,7.3,-3.820816864295129,2.88,2.75,13.318000030517577,404.16,0.0,197,0
2015-05-24,7.32,0.273972602739736,2.99,2.88,12.539999961853027,403.99,-0.04206254948535548,190,0
2015-05-31,7.4,1.0928961748633892,2.8,2.99,13.62000036239624,403.37,-0.15346914527587519,183,0
2015-06-07,7.61,2.837837837837842,2.65,2.8,14.157999992370605,403.41,0.00991645387609097,176,0
2015-06-14,7.41,-2.6281208935611033,2.78,2.65,13.922000122070312,402.56,-0.21070375052676393,169,0
2015-06-21,7.52,1.4844804318488558,2.9,2.78,14.370000076293945,402.88,0.07949125596184992,162,0
2015-06-28,7.42,-1.3297872340425454,2.8,2.9,13.228000068664551,402.33,-0.13651707704527283,155,0
2015-07-05,7.59,2.2911051212938016,2.79,2.8,17.490000247955322,401.9,-0.10687743891830692,148,0
2015-07-12,7.72,1.7127799736495364,2.75,2.79,17.911999893188476,401.57,-0.08210997760637051,141,0
2015-07-19,7.98,3.3678756476684057,2.89,2.75,12.911999702453613,401.43,-0.03486316208879403,134,0
2015-07-26,7.85,-1.6290726817042689,2.88,2.89,12.594000053405761,400.38,-0.2615649054629743,127,0
2015-08-02,7.76,-1.146496815286624,2.87,2.88,13.157999992370605,398.54,-0.4595634147559702,120,0
2015-08-09,8.3,6.958762886597958,2.8,2.87,13.046000289916993,399.37,0.20826014954584693,113,0
2015-08-16,8.18,-1.4457831325301318,2.88,2.8,13.173999786376953,399.32,-0.012519718556724957,106,0
2015-08-23,8.09,-1.1002444987775029,2.75,2.88,17.846000099182127,399.04,-0.0701192026444919,99,0
2015-08-30,8.07,-0.24721878862793423,2.69,2.75,31.846000289916994,398.68,-0.09021651964715716,92,0
2015-09-06,8.24,2.106567534076831,2.69,2.69,27.86599998474121,397.96,-0.18059596669008915,85,0
2015-09-13,8.09,-1.8203883495145678,2.7,2.69,24.675000190734863,397.43,-0.13317921399135235,78,0
2015-09-20,7.98,-1.3597033374536438,2.7,2.7,22.312000274658203,397.52,0.022645497320272767,71,0
2015-09-27,8.13,1.8796992481203034,2.61,2.7,22.35999984741211,397.41,-0.02767156369489765,64,0
2015-10-04,8.33,2.4600246002459913,2.49,2.61,24.489999771118164,398.56,0.2893736946730119,57,0
2015-10-11,8.38,0.6002400960384291,2.38,2.49,18.368000030517578,398.37,-0.04767161782416318,50,0
2015-10-18,8.62,2.8639618138424527,2.48,2.38,16.59400005340576,398.71,0.0853477922534207,43,0
2015-10-25,8.63,0.11600928074246841,2.38,2.48,15.268000030517578,398.68,-0.007524265757063997,36,0
2015-11-01,8.4,-2.665121668597914,2.12,2.38,14.945999908447266,399.26,0.14548008427810455,29,0
2015-11-08,8.39,-0.11904761904761862,2.02,2.12,14.715999984741211,400.22,0.24044482292242542,22,0
2015-11-15,8.51,1.4302741358760418,2.11,2.02,17.264000129699706,400.55,0.0824546499425205,15,0
2015-11-22,8.58,0.8225616921269108,2.09,2.11,17.26200008392334,400.58,0.007489701660201575,8,0
2015-11-29,8.52,-0.6993006993007089,2.15,2.09,15.464999914169312,401.0,0.10484797044285621,1,1
2015-12-06,8.07,-5.281690140845063,2.13,2.15,15.926000022888184,401.52,0.12967581047380605,337,0
2015-12-13,8.06,-0.12391573729862992,1.96,2.13,19.3560001373291,402.55,0.2565252042239674,330,0
2015-12-20,8.19,1.6129032258064502,1.72,1.96,20.23600044250488,402.81,0.06458824990684953,323,0
2015-12-27,8.22,0.3663003663003872,1.68,1.72,16.65250015258789,402.28,-0.1315756808420887,316,0
2016-01-03,7.41,-9.85401459854015,2.27,1.68,17.12249994277954,402.32,0.00994332305856993,309,0
2016-01-10,6.67,-9.986504723346833,2.38,2.27,22.526000213623046,402.65,0.08202425929608737,302,0
2016-01-17,6.32,-5.247376311844077,2.32,2.38,24.591999816894532,402.78,0.032286104557299744,295,0
2016-01-24,6.04,-4.430379746835444,2.2,2.32,25.667500019073486,403.33,0.1365509707532686,288,0
2016-01-31,5.54,-8.278145695364236,2.22,2.2,22.476000213623045,404.75,0.35206902536384366,281,0
2016-02-07,5.05,-8.844765342960292,2.11,2.22,21.765999603271485,403.98,-0.1902408894379204,274,0
2016-02-14,5.15,1.980198019801982,2.16,2.11,26.47400016784668,403.85,-0.03217981088172728,267,0
2016-02-21,4.98,-3.300970873786402,1.94,2.16,22.147500038146973,404.59,0.1832363501299783,260,0
2016-02-28,4.92,-1.2048192771084487,1.82,1.94,19.999999618530275,404.24,-0.08650732840652653,253,0
2016-03-06,4.98,1.2195121951219523,1.57,1.82,17.780000305175783,404.18,-0.01484266772214804,246,0
2016-03-13,4.93,-1.0040160642570406,1.64,1.57,17.78199996948242,404.97,0.19545746944431563,239,0
2016-03-20,4.84,-1.8255578093306246,1.79,1.64,15.442000007629394,405.85,0.21730004691704607,232,0
2016-03-27,5.16,6.6115702479338845,1.79,1.79,14.40999984741211,405.64,-0.05174325489714082,225,0
2016-04-03,5.41,4.844961240310086,1.86,1.79,13.934000015258789,406.78,0.2810373730401272,218,0
2016-04-10,5.47,1.109057301293892,1.96,1.86,15.029999923706054,408.91,0.5236245636462078,211,0
2016-04-17,5.96,8.957952468007324,1.9,1.96,14.458000183105469,407.64,-0.310581790614084,204,0
2016-04-24,6.17,3.523489932885915,1.91,1.9,13.407999992370605,407.9,0.063781768226856,197,0
2016-05-01,5.85,-5.186385737439226,1.92,1.91,14.546000099182129,407.73,-0.04167688158861482,190,0
2016-05-08,5.84,-0.17094017094017033,1.96,1.92,15.392000007629395,408.05,0.07848331003359466,183,0
2016-05-15,5.95,1.8835616438356295,2.0,1.96,14.467999839782715,407.49,-0.1372380835681919,176,0
2016-05-22,6.02,1.17647058823529,1.89,2.0,15.545999908447266,408.51,0.25031289111387967,169,0
2016-05-29,5.93,-1.4950166112956742,1.84,1.89,14.13799991607666,407.64,-0.2129690827641917,162,0
2016-06-05,5.94,0.1686340640809636,2.15,1.84,13.872499942779541,407.04,-0.14718869590815142,155,0
2016-06-12,5.66,-4.7138047138047146,2.36,2.15,14.69000015258789,407.39,0.0859866352201255,148,0
2016-06-19,4.95,-12.54416961130742,2.59,2.36,20.077999877929688,406.85,-0.13255111809321596,141,0
2016-06-26,4.61,-6.8686868686868685,2.75,2.59,20.206000137329102,406.17,-0.1671377657613382,134,0
2016-07-03,4.53,-1.7353579175705014,2.89,2.75,17.928000068664552,405.75,-0.10340497821109684,127,0
2016-07-10,4.92,8.609271523178808,2.82,2.89,14.625,404.68,-0.2637091805298808,120,0
2016-07-17,4.55,-7.520325203252032,2.81,2.82,13.123999977111817,403.59,-0.2693486211327589,113,0
2016-07-24,4.41,-3.076923076923066,2.79,2.81,12.188000106811524,404.04,0.11149929383782453,106,0
2016-07-31,4.72,7.029478458049887,2.85,2.79,12.668000030517579,403.68,-0.08910008910009148,99,0
2016-08-07,4.89,3.601694915254239,2.88,2.85,12.495999908447265,403.08,-0.14863258026159842,92,0
2016-08-14,4.76,-2.6584867075664653,2.77,2.88,11.688000106811524,402.05,-0.2555324005160231,85,0
2016-08-21,4.69,-1.4705882352941013,2.73,2.77,11.882000160217284,402.11,0.014923516975495765,78,0
2016-08-28,4.08,-13.006396588486147,2.82,2.73,13.076000022888184,401.16,-0.2362537614085669,71,0
2016-09-04,4.08,0.0,2.94,2.82,12.987999725341798,401.18,0.004985541928403947,64,0
2016-09-11,4.36,6.8627450980392135,2.87,2.94,13.492500066757202,401.47,0.07228675407549012,57,0
2016-09-18,4.54,4.128440366972463,3.02,2.87,16.563999748229982,401.08,-0.09714299947692906,50,0
2016-09-25,4.96,9.251101321585908,3.11,3.02,13.81200008392334,400.94,-0.03490575446294386,43,0
2016-10-02,5.69,14.717741935483875,3.01,3.11,13.460000228881835,401.13,0.04738863670374904,36,0
2016-10-09,5.81,2.1089630931458547,2.91,3.01,13.301999855041505,401.78,0.16204223069826718,29,0
2016-10-16,5.89,1.376936316695354,3.17,2.91,15.492000198364257,401.86,0.01991139429540212,22,0
2016-10-23,5.88,-0.1697792869269965,3.14,3.17,14.597999763488769,402.35,0.12193301149654445,15,0
2016-10-30,6.41,9.013605442176864,2.72,3.14,14.454000091552734,403.0,0.1615508885298711,8,0
2016-11-06,5.67,-11.544461778471138,2.5,2.72,19.905999755859376,403.0,0.0,1,1
2016-11-13,5.58,-1.5873015873015817,2.22,2.5,16.14799976348877,403.79,0.19602977667494415,358,0
2016-11-20,5.0,-10.39426523297491,2.44,2.22,13.554000091552734,404.19,0.09906139329849406,351,0
2016-11-27,4.3,-14.000000000000002,2.76,2.44,12.400000095367432,404.75,0.13854870234295547,344,0
2016-12-04,4.46,3.7209302325581506,3.21,2.76,13.513999748229981,404.09,-0.16306361951822224,337,0
2016-12-11,4.93,10.538116591928247,3.69,3.21,12.108000183105469,405.03,0.23262144571754018,330,0
2016-12-18,6.22,26.166328600405684,3.57,3.69,12.707999992370606,404.62,-0.10122706959977412,323,0
2016-12-25,6.54,5.144694533762073,3.51,3.57,11.460000038146973,404.96,0.0840294597399982,316,0
2017-01-01,5.03,-23.088685015290512,3.69,3.51,13.087499856948853,406.14,0.29138680363491876,309,0
2017-01-08,5.03,0.0,3.47,3.69,11.922500133514404,406.2,0.014773230905595902,302,0
2017-01-15,5.42,7.753479125248508,3.27,3.47,11.41599998474121,406.41,0.051698670605615504,295,0
2017-01-22,4.91,-9.409594095940953,3.29,3.27,12.167499780654907,406.71,0.0738170812725869,288,0
2017-01-29,5.49,11.812627291242372,3.27,3.29,10.972000122070312,406.43,-0.06884512306064572,281,0
2017-02-05,5.45,-0.7285974499089298,3.12,3.27,11.716000175476074,406.26,-0.04182762099255166,274,0
2017-02-12,5.31,-2.5688073394495525,3.04,3.12,11.168000030517579,406.14,-0.029537734455764575,267,0
2017-02-19,5.73,7.909604519774027,2.87,3.04,11.405999946594239,407.17,0.2536071305461185,260,0
2017-02-26,5.94,3.664921465968596,2.62,2.87,11.622499942779541,407.6,0.10560699462140999,253,0
2017-03-05,5.51,-7.239057239057245,2.52,2.62,12.064000129699707,406.34,-0.3091265947007038,246,0
2017-03-12,5.48,-0.5444646098003547,2.75,2.52,11.701999855041503,407.77,0.3519220357336206,239,0
2017-03-19,5.11,-6.751824817518248,2.96,2.75,11.554000091552734,407.02,-0.18392721387056055,232,0
2017-03-26,5.04,-1.3698630136986356,2.99,2.96,12.54000015258789,408.6,0.38818731266276885,225,0
2017-04-02,5.25,4.166666666666674,3.03,2.99,11.871999931335449,407.84,-0.18600097895252743,218,0
2017-04-09,5.32,1.333333333333342,3.18,3.03,12.464000129699707,409.03,0.2917810906237772,211,0
2017-04-16,4.94,-7.14285714285714,3.05,3.18,15.212500095367432,409.84,0.19802948438989443,204,0
2017-04-23,4.94,0.0,3.1,3.05,14.557999992370606,410.16,0.07807925043921138,197,0
2017-04-30,4.94,0.0,3.09,3.1,10.726000022888183,409.39,-0.18773161692998697,190,0
2017-05-07,4.83,-2.2267206477732837,3.14,3.09,10.481999969482422,409.52,0.03175456166490953,183,0
2017-05-14,5.22,8.074534161490687,3.12,3.14,10.188000106811524,410.6,0.26372338347333546,176,0
2017-05-21,5.58,6.896551724137945,3.21,3.12,12.67199993133545,410.2,-0.097418412079886,169,0
2017-05-28,5.54,-0.7168458781361964,3.18,3.21,10.294000244140625,409.77,-0.10482691370063968,162,0
2017-06-04,5.42,-2.166064981949456,3.03,3.18,10.107500076293945,409.89,0.029284720696987065,155,0
2017-06-11,5.26,-2.9520295202952074,2.98,3.03,10.353999900817872,409.63,-0.06343165239454107,148,0
2017-06-18,5.25,-0.1901140684410607,3.03,2.98,10.760000038146973,408.51,-0.2734174743060813,141,0
2017-06-25,5.42,3.23809523809524,2.89,3.03,10.495999908447265,407.95,-0.1370835475263732,134,0
2017-07-02,5.74,5.904059040590415,3.01,2.89,10.72199993133545,408.28,0.08089226620908718,127,0
2017-07-09,5.82,1.3937282229965264,2.95,3.01,11.504999876022339,407.26,-0.24982854903496943,120,0
2017-07-16,5.6,-3.7800687285223455,2.96,2.95,10.342000007629395,407.01,-0.06138584687914728,113,0
2017-07-23,5.69,1.6071428571428736,3.09,2.96,9.68799991607666,406.93,-0.01965553671899878,106,0
2017-07-30,5.86,2.987697715289972,2.96,3.09,9.772000122070313,406.66,-0.06635047796917926,99,0
2017-08-06,5.99,2.2184300341296925,2.8,2.96,10.219999885559082,405.73,-0.22869227364382683,92,0
2017-08-13,6.41,7.011686143572615,2.85,2.8,12.710000228881835,405.39,-0.08379957114338366,85,0
2017-08-20,6.69,4.368174726989094,2.95,2.85,13.184000015258789,404.74,-0.16033942623152608,78,0
2017-08-27,6.43,-3.8863976083707175,2.97,2.95,12.05999984741211,404.39,-0.08647526807333827,71,0
2017-09-03,7.56,17.573872472783837,2.93,2.97,10.992000007629395,403.89,-0.12364301787878285,64,0
2017-09-10,7.44,-1.5873015873015817,2.91,2.93,11.882499933242798,403.87,-0.0049518433236750425,57,0
2017-09-17,7.14,-4.032258064516137,2.96,2.91,10.483999824523925,403.25,-0.15351474484364136,50,0
2017-09-24,7.59,6.302521008403361,3.09,2.96,9.873999977111817,402.95,-0.07439553626782391,43,0
2017-10-01,7.52,-0.9222661396574461,2.96,3.09,9.86200008392334,403.14,0.04715225214046992,36,0
2017-10-08,7.78,3.457446808510656,2.84,2.96,9.485999870300294,403.61,0.11658480924741088,29,0
2017-10-15,8.0,2.8277634961439535,2.92,2.84,9.955999946594238,404.14,0.13131488317930096,22,0
2017-10-22,7.61,-4.8749999999999964,2.84,2.92,10.06200008392334,404.19,0.012371950314249425,15,0
2017-10-29,8.32,9.329829172141913,2.91,2.84,10.911999893188476,404.34,0.03711125955614403,8,0
2017-11-05,7.86,-5.528846153846157,2.78,2.91,9.990000152587891,404.44,0.024731661473031963,1,1
2017-11-12,7.93,0.8905852417302684,3.12,2.78,10.17199993133545,405.26,0.20274948076353105,385,0
2017-11-19,8.21,3.5308953341740335,3.1,3.12,11.882000160217284,406.31,0.25909292799684014,378,0
2017-11-26,8.13,-0.974421437271622,3.05,3.1,9.982499837875366,406.52,0.051684674263485775,371,0
