date,carbon_price_change_pct
2015-04-05,-2.93706293706294
2015-04-12,-1.4409221902017322
2015-04-19,6.432748538011701
2015-04-26,2.74725274725276
2015-05-03,0.6684491978609541
2015-05-10,0.7968127490039834
2015-05-17,-3.820816864295129
2015-05-24,0.273972602739736
2015-05-31,1.0928961748633892
2015-06-07,2.837837837837842
2015-06-14,-2.628120893561104
2015-06-21,1.4844804318488558
2015-06-28,-1.3297872340425454
2015-07-05,2.2911051212938016
2015-07-12,1.7127799736495364
2015-07-19,3.3678756476684057
2015-07-26,-1.6290726817042689
2015-08-02,-1.146496815286624
2015-08-09,6.958762886597958
2015-08-16,-1.4457831325301318
2015-08-23,-1.1002444987775029
2015-08-30,-0.2472187886279342
2015-09-06,2.106567534076831
2015-09-13,-1.820388349514568
2015-09-20,-1.3597033374536438
2015-09-27,1.879699248120304
2015-10-04,2.460024600245992
2015-10-11,0.6002400960384291
2015-10-18,2.8639618138424527
2015-10-25,0.1160092807424684
2015-11-01,-2.665121668597914
2015-11-08,-0.1190476190476186
2015-11-15,1.4302741358760418
2015-11-22,0.8225616921269108
2015-11-29,-0.6993006993007089
2015-12-06,-5.281690140845063
2015-12-13,-0.1239157372986299
2015-12-20,1.6129032258064502
2015-12-27,0.3663003663003872
2016-01-03,-9.85401459854015
2016-01-10,-9.986504723346831
2016-01-17,-5.247376311844077
2016-01-24,-4.430379746835444
2016-01-31,-8.278145695364236
2016-02-07,-8.844765342960292
2016-02-14,1.980198019801982
2016-02-21,-3.300970873786402
2016-02-28,-1.2048192771084487
2016-03-06,1.2195121951219523
2016-03-13,-1.0040160642570406
2016-03-20,-1.8255578093306248
2016-03-27,6.6115702479338845
2016-04-03,4.844961240310086
2016-04-10,1.109057301293892
2016-04-17,8.957952468007324
2016-04-24,3.523489932885915
2016-05-01,-5.186385737439226
2016-05-08,-0.1709401709401703
2016-05-15,1.8835616438356293
2016-05-22,1.17647058823529
2016-05-29,-1.4950166112956742
2016-06-05,0.1686340640809636
2016-06-12,-4.7138047138047146
2016-06-19,-12.54416961130742
2016-06-26,-6.8686868686868685
2016-07-03,-1.7353579175705014
2016-07-10,8.609271523178808
2016-07-17,-7.520325203252032
2016-07-24,-3.076923076923066
2016-07-31,7.029478458049887
2016-08-07,3.601694915254239
2016-08-14,-2.6584867075664653
2016-08-21,-1.470588235294101
2016-08-28,-13.006396588486147
2016-09-04,0.0
2016-09-11,6.8627450980392135
2016-09-18,4.128440366972463
2016-09-25,9.251101321585908
2016-10-02,14.717741935483875
2016-10-09,2.1089630931458547
2016-10-16,1.376936316695354
2016-10-23,-0.1697792869269965
2016-10-30,9.013605442176864
2016-11-06,-11.544461778471138
2016-11-13,-1.5873015873015817
2016-11-20,-10.39426523297491
2016-11-27,-14.000000000000002
2016-12-04,3.720930232558151
2016-12-11,10.538116591928247
2016-12-18,26.166328600405684
2016-12-25,5.144694533762073
2017-01-01,-23.088685015290512
2017-01-08,0.0
2017-01-15,7.753479125248508
2017-01-22,-9.409594095940951
2017-01-29,11.812627291242372
2017-02-05,-0.7285974499089298
2017-02-12,-2.5688073394495525
2017-02-19,7.909604519774027
2017-02-26,3.664921465968596
2017-03-05,-7.239057239057245
2017-03-12,-0.5444646098003547
2017-03-19,-6.751824817518248
2017-03-26,-1.3698630136986356
2017-04-02,4.166666666666674
2017-04-09,1.333333333333342
2017-04-16,-7.14285714285714
2017-04-23,0.0
2017-04-30,0.0
2017-05-07,-2.226720647773284
2017-05-14,8.074534161490687
2017-05-21,6.896551724137945
2017-05-28,-0.7168458781361964
2017-06-04,-2.166064981949456
2017-06-11,-2.952029520295208
2017-06-18,-0.1901140684410607
2017-06-25,3.23809523809524
2017-07-02,5.904059040590415
2017-07-09,1.3937282229965264
2017-07-16,-3.7800687285223455
2017-07-23,1.6071428571428736
2017-07-30,2.987697715289972
2017-08-06,2.2184300341296925
2017-08-13,7.011686143572615
2017-08-20,4.368174726989094
2017-08-27,-3.8863976083707175
2017-09-03,17.573872472783837
2017-09-10,-1.5873015873015817
2017-09-17,-4.032258064516137
2017-09-24,6.302521008403361
2017-10-01,-0.922266139657446
2017-10-08,3.457446808510656
2017-10-15,2.827763496143953
2017-10-22,-4.8749999999999964
2017-10-29,9.329829172141912
2017-11-05,-5.528846153846157
2017-11-12,0.8905852417302684
2017-11-19,3.530895334174033
2017-11-26,-0.974421437271622
2017-12-03,-6.765067650676516
2017-12-10,0.923482849604218
2017-12-17,12.67973856209148
2017-12-24,-0.2320185614849146
2017-12-31,-4.767441860465116
2018-01-07,0.8547008547008517
2018-01-14,11.985472154963684
2018-01-21,4.540540540540539
2018-01-28,-1.4477766287487093
2018-02-04,2.728226652675758
2018-02-11,3.472931562819226
2018-02-18,2.9615004935834133
2018-02-25,3.259827420901251
2018-03-04,9.47075208913648
2018-03-11,-0.5089058524172962
2018-03-18,12.78772378516624
2018-03-25,6.122448979591821
2018-04-01,-1.9943019943019944
2018-04-08,7.848837209302317
2018-04-15,-5.525606469002698
2018-04-22,3.9942938659058624
2018-04-29,-3.703703703703709
2018-05-06,11.680911680911676
2018-05-13,4.464285714285721
2018-05-20,4.82295482295485
2018-05-27,-3.6109493302271423
2018-06-03,3.92749244712991
2018-06-10,-7.0930232558139465
2018-06-17,3.942428035043788
2018-06-24,-0.6020469596628386
2018-07-01,4.663840096910965
2018-07-08,2.372685185185186
2018-07-15,6.105144149236841
2018-07-22,1.7048481619605704
2018-07-29,2.304871660555264
2018-08-05,1.024065540194563
2018-08-12,1.5712113532691196
2018-08-19,13.922155688622762
2018-08-26,1.620674551029344
2018-09-02,9.18103448275862
2018-09-09,-11.488353730754032
2018-09-16,10.972346119536123
2018-09-23,-1.0048231511254002
2018-09-30,5.968331303288688
2018-10-07,-7.241379310344831
2018-10-14,-6.484923585295332
2018-10-21,-9.054770318021198
2018-10-28,-6.847984458474987
2018-11-04,12.877997914494266
2018-11-11,-1.5704387990762123
2018-11-18,5.114969497888322
2018-11-25,1.3392857142857206
2018-12-02,-0.4405286343612258
2018-12-09,13.982300884955755
2018-12-16,4.69720496894408
2018-12-23,0.1853911753800563
2018-12-30,-5.033308660251668
2019-01-06,-4.442712392829307
2019-01-13,8.60522022838499
2019-01-20,-3.567405182125416
2019-01-27,-8.294392523364479
2019-02-03,1.5286624203821653
2019-02-10,-7.8209953994144765
2019-02-17,-7.304900181488206
2019-02-24,16.15271659324524
2019-03-03,3.329119258322799
2019-03-10,-2.446982055464919
2019-03-17,-8.068561872909708
2019-03-24,3.774442928603916
2019-03-31,13.496932515337411
2019-04-07,7.413127413127429
2019-04-14,1.1502516175413424
2019-04-21,-3.731343283582089
2019-04-28,-2.9531192321890054
2019-05-05,1.2552301255230214
2019-05-12,-2.479338842975209
2019-05-19,1.8489984591679496
2019-05-26,-3.7443267776096856
2019-06-02,0.8251473477406623
2019-06-09,1.9095869056897865
2019-06-16,1.0325047801147402
2019-06-23,4.087812263436774
2019-06-30,0.6181818181818288
