date,gas_price_weekly,gas_price_lag1,gas_price_volatility,vix,co2_change,days_to_next_cop,cop_urgency,is_cop_week,recent_volatility,momentum_4w,momentum_12w,regime
2015-04-05,-0.37439623825041385,-0.2759858038282803,-0.29326965872470123,-0.4947508552281869,2.1056438488796445,0.14937006152784463,-0.3621950478494146,-0.14110813025753954,-0.14709023633191498,0.40134692197521743,-0.5344807270132205,-1.2760694125935004
2015-04-12,-0.35458335091972126,-0.3750741648600851,-0.4444791377204099,-0.6378898876976978,1.241078737705474,0.10276232718725725,-0.3621950478494146,-0.14110813025753954,-0.22149488514800972,-0.46184522314261167,-0.3724461081484686,-1.2760694125935004
2015-04-19,-0.3942091255811067,-0.3552564926537243,-0.47595734091899317,-0.6980595000109349,-1.5607868918396313,0.056154592846669855,-0.3621950478494146,-0.14110813025753954,-0.13407900150416394,0.42336254626478553,-0.26103913816571617,-1.2760694125935004
2015-04-26,-0.40081342135800413,-0.39489183706644626,-0.47632958963382516,-0.7765768681073374,1.0544143168358415,0.00954685850608246,-0.3621950478494146,-0.14110813025753954,-0.13778180031129464,0.1647790318818773,-0.0218976884087334,-1.2760694125935004
2015-05-03,-0.42062630868869705,-0.4014977278018998,-0.600291323141196,-0.7188355799879772,0.46113230915240644,-0.03706087583450493,-0.3621950478494146,-0.14110813025753954,-0.49081662891427763,0.49136181337556334,-0.46702853181618836,-1.2760694125935004
2015-05-10,-0.30174898470454065,-0.4213154000082609,-0.35091514647880845,-0.6074003050895392,-0.3322076416244791,-0.08366861017509232,-0.3621950478494146,-0.14110813025753954,-0.56886731914775,0.6983910648518675,-0.21801965136447,-1.2760694125935004
2015-05-17,-0.21589313960487233,-0.302409366770095,-0.3732392505826362,-0.7075031774063092,-0.06790928124488141,-0.1302763445156797,-0.3621950478494146,-0.14110813025753954,-0.541519630561547,-0.20000842590829596,-0.26143549638719854,-1.2760694125935004
2015-05-24,-0.14324588605899885,-0.2165327872091975,-0.4193074808270357,-0.8124628010386368,-0.3323188122531887,-0.1768840788562671,-0.3621950478494146,-0.14110813025753954,-0.6429046694688496,-0.40286018017257974,-0.02084372442875702,-1.2760694125935004
2015-05-31,-0.26872750582005295,-0.14386798911920706,-0.19669657318631717,-0.6667604545615252,-1.0326321813812105,-0.2234918131968545,-0.3621950478494146,-0.14110813025753954,-0.8142641607860809,-0.36818459935620007,0.3230480807006087,-1.2760694125935004
2015-06-07,-0.36779194247351643,-0.26937991309282683,-0.20104931351962316,-0.5941791773215765,-0.005573427837907356,-0.2700995475374419,-0.3621950478494146,-0.14110813025753954,-1.1503632787888918,-0.20095140644493484,0.0015476205571805354,-1.2760694125935004
2015-06-14,-0.2819360973738481,-0.3684682741246316,-0.19600290353311242,-0.626017808912594,-1.392414822162459,-0.31670728187802927,-0.3621950478494146,-0.14110813025753954,-1.2189991619187073,-0.09646116244331966,0.07719924795462349,-1.2760694125935004
2015-06-21,-0.2026845480510772,-0.2825916945637341,-0.18422460525020398,-0.5655783456316633,0.43178096495505025,-0.36331501621861667,-0.3621950478494146,-0.14110813025753954,-1.3932158334435802,0.006520268980860963,-0.14398651732826048,-1.2760694125935004
2015-06-28,-0.26872750582005295,-0.20332100573829018,-0.25542215782638095,-0.7196450299632533,-0.9260697293825522,-0.4099227505592041,-0.3621950478494146,-0.14110813025753954,-1.4567064840478363,-0.20038282288858023,-0.05723676654768145,-1.2760694125935004
